,Dropped,RMSE,Diff from Base
312,"[524, 1299, 31, 496, 917]",0.117510155035,-0.00752251279342
418,"[524, 1183, 1299, 31, 496, 917]",0.11767344603,-0.00735922179887
403,"[524, 692, 1299, 31, 496, 917]",0.117678327877,-0.00735433995206
487,"[524, 1183, 1299, 31, 496, 534, 917]",0.117942122279,-0.00709054554935
509,"[524, 1183, 1299, 31, 496, 534, 917, 969]",0.117947222969,-0.0070854448597
489,"[524, 1183, 1299, 31, 496, 917, 969]",0.118006239203,-0.00702642862574
432,"[524, 1299, 31, 496, 534, 917]",0.118013141709,-0.00701952611954
481,"[524, 692, 1299, 31, 496, 534, 917]",0.118075517895,-0.00695714993393
434,"[524, 1299, 31, 496, 917, 969]",0.118083538263,-0.00694912956537
493,"[524, 1299, 31, 496, 534, 917, 969]",0.118089250583,-0.00694341724544
469,"[524, 692, 1183, 1299, 31, 534, 917]",0.118093043154,-0.00693962467426
293,"[524, 1183, 1299, 31, 917]",0.118111452389,-0.00692121544011
502,"[524, 692, 1183, 1299, 31, 496, 534, 917]",0.11812073829,-0.00691192953855
384,"[524, 692, 1183, 1299, 31, 917]",0.118141802451,-0.00689086537802
420,"[524, 1183, 1299, 31, 534, 917]",0.118160026955,-0.00687264087345
291,"[524, 1183, 1299, 31, 496]",0.118185392025,-0.00684727580362
314,"[524, 1299, 31, 534, 917]",0.118230937805,-0.00680173002389
511,"[524, 692, 1183, 1299, 31, 496, 534, 917, 969]",0.118258758391,-0.00677390943776
273,"[524, 692, 1299, 31, 917]",0.118263067174,-0.00676960065425
168,"[524, 1299, 31, 917]",0.118284845772,-0.00674782205671
471,"[524, 692, 1183, 1299, 31, 917, 969]",0.118292400292,-0.0067402675363
508,"[524, 692, 1299, 31, 496, 534, 917, 969]",0.118346049721,-0.00668661810761
417,"[524, 1183, 1299, 31, 496, 534]",0.118363181817,-0.00666948601135
166,"[524, 1299, 31, 496]",0.118368725409,-0.00666394241971
151,"[524, 1183, 1299, 31]",0.118440499989,-0.00659216783951
256,"[524, 692, 1183, 1299, 31]",0.118446238259,-0.0065864295692
383,"[524, 692, 1183, 1299, 31, 534]",0.11845422307,-0.00657844475844
382,"[524, 692, 1183, 1299, 31, 496]",0.11846126214,-0.00657140568862
292,"[524, 1183, 1299, 31, 534]",0.118467701939,-0.00656496588944
405,"[524, 692, 1299, 31, 534, 917]",0.11852335527,-0.00650931255889
271,"[524, 692, 1299, 31, 496]",0.1185260864,-0.00650658142901
59,"[524, 1299, 31]",0.118545680779,-0.00648698704966
466,"[524, 692, 1183, 1299, 31, 496, 534]",0.118557655413,-0.0064750124161
136,"[524, 692, 1299, 31]",0.118560084264,-0.00647258356434
419,"[524, 1183, 1299, 31, 496, 969]",0.118573054773,-0.00645961305572
402,"[524, 692, 1299, 31, 496, 534]",0.118592727873,-0.00643993995592
