"HouseId","MSSubClass.20","MSSubClass.30","MSSubClass.45","MSSubClass.50","MSSubClass.60","MSSubClass.70","MSSubClass.75","MSSubClass.80","MSSubClass.85","MSSubClass.120","MSSubClass.160","MSSubClass.180","MSZoning.C..all.","MSZoning.FV","MSZoning.RH","MSZoning.RL","MSZoning.RM","LotFrontage","LotArea","Street.Grvl","Alley.Grvl","Alley.None","Alley.Pave","LotShape.IR1","LotShape.IR2","LotShape.IR3","LotShape.Reg","LandContour.Bnk","LandContour.HLS","LandContour.Low","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.FR2","LotConfig.Inside","LandSlope.Gtl","LandSlope.Mod","LandSlope.Sev","Neighborhood.Blmngtn","Neighborhood.BrDale","Neighborhood.BrkSide","Neighborhood.ClearCr","Neighborhood.CollgCr","Neighborhood.Crawfor","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.IDOTRR","Neighborhood.MeadowV","Neighborhood.Mitchel","Neighborhood.NAmes","Neighborhood.NoRidge","Neighborhood.NPkVill","Neighborhood.NridgHt","Neighborhood.NWAmes","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.SawyerW","Neighborhood.Somerst","Neighborhood.StoneBr","Neighborhood.SWISU","Neighborhood.Timber","Neighborhood.Veenker","Condition1.Artery","Condition1.Feedr","Condition1.Norm","Condition1.PosA","Condition1.PosN","Condition1.RRAe","Condition1.RRAn","Condition2.Feedr","Condition2.Norm","BldgType.1Fam","BldgType.2fmCon","BldgType.Duplex","BldgType.Twnhs","BldgType.TwnhsE","HouseStyle.1.5Fin","HouseStyle.1.5Unf","HouseStyle.1Story","HouseStyle.2.5Unf","HouseStyle.2Story","HouseStyle.SFoyer","HouseStyle.SLvl","OverallQual","OverallCond","RoofStyle.Flat","RoofStyle.Gable","RoofStyle.Gambrel","RoofStyle.Hip","RoofStyle.Mansard","RoofMatl.CompShg","RoofMatl.Tar.Grv","Exterior1st.AsbShng","Exterior1st.BrkFace","Exterior1st.CemntBd","Exterior1st.HdBoard","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.Stucco","Exterior1st.VinylSd","Exterior1st.Wd.Sdng","Exterior1st.WdShing","Exterior2nd.AsbShng","Exterior2nd.Brk.Cmn","Exterior2nd.BrkFace","Exterior2nd.CmentBd","Exterior2nd.HdBoard","Exterior2nd.ImStucc","Exterior2nd.MetalSd","Exterior2nd.Plywood","Exterior2nd.Stucco","Exterior2nd.VinylSd","Exterior2nd.Wd.Sdng","Exterior2nd.Wd.Shng","MasVnrType.BrkCmn","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","MasVnrArea","ExterQual.Ex","ExterQual.Fa","ExterQual.Gd","ExterQual.TA","ExterCond.Fa","ExterCond.Gd","ExterCond.TA","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","Foundation.Slab","Foundation.Stone","BsmtQual.Ex","BsmtQual.Fa","BsmtQual.Gd","BsmtQual.TA","BsmtCond.Fa","BsmtCond.Gd","BsmtCond.TA","BsmtExposure.Av","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtFinType1.ALQ","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinSF1","BsmtFinType2.ALQ","BsmtFinType2.BLQ","BsmtFinType2.GLQ","BsmtFinType2.LwQ","BsmtFinType2.Rec","BsmtFinType2.Unf","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC.Ex","HeatingQC.Fa","HeatingQC.Gd","HeatingQC.TA","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual.Ex","KitchenQual.Fa","KitchenQual.Gd","KitchenQual.TA","TotRmsAbvGrd","Functional.Maj1","Functional.Min1","Functional.Min2","Functional.Mod","Functional.Typ","Fireplaces","FireplaceQu.Ex","FireplaceQu.Fa","FireplaceQu.Gd","FireplaceQu.None","FireplaceQu.Po","FireplaceQu.TA","GarageType.2Types","GarageType.Attchd","GarageType.Basment","GarageType.BuiltIn","GarageType.CarPort","GarageType.Detchd","GarageFinish.Fin","GarageFinish.RFn","GarageFinish.Unf","GarageCars","GarageArea","GarageQual.Fa","GarageQual.Gd","GarageQual.TA","GarageCond.Fa","GarageCond.Gd","GarageCond.Po","GarageCond.TA","PavedDrive.N","PavedDrive.P","PavedDrive.Y","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","Fence.GdPrv","Fence.GdWo","Fence.MnPrv","Fence.MnWw","Fence.None","MiscFeature.None","MiscFeature.Shed","MoSold.1","MoSold.2","MoSold.3","MoSold.4","MoSold.5","MoSold.6","MoSold.7","MoSold.8","MoSold.9","MoSold.10","MoSold.11","MoSold.12","YrSold.2006","YrSold.2007","YrSold.2008","YrSold.2009","YrSold.2010","SaleType.COD","SaleType.ConLD","SaleType.New","SaleType.WD","SaleCondition.Abnorml","SaleCondition.Alloca","SaleCondition.Family","SaleCondition.Normal","SaleCondition.Partial","MSSubClassordered","MSZoningordered","LandContourordered","LotConfigordered","LandSlopeordered","Neighborhoodbins","GoodNeighborhood","GreatNeighborhood","Condition1nums","BldgTypenums","HouseStylenums","OverallQualcat.3","OverallQualcat.4","OverallQualcat.5","OverallQualcat.6","OverallQualcat.7","OverallQualcat.8","OverallQualcat.9","OverallQualcat.10","OverallQualGood","OverallCondcat.3","OverallCondcat.4","OverallCondcat.5","OverallCondcat.6","OverallCondcat.7","OverallCondcat.8","OverallCondcat.9","OverallCondBad","RoofStylenums","Exterior1stnums","Exterior2ndnums","MasVnrTypenums","ExterQualnums","ExterCondnums","Foundationnums","BsmtQualnums","BsmtCondnums","BsmtExposurenums","BsmtFinType1nums","BsmtFinType2nums","NoGasHeat","BadHeating","HeatingQCnums","NoCentralAir","HasFuse","KitchenQualnums","BadFireplace","FireplaceQunums","GarageDetach","GarageTypenums","GarageFinishnums","BadGarageQ","GarageQualnums","BadGarageC","GarageCondnums","PoolQCnums","Fencenums","MoSoldnums","SummerSale","SaleTypenums","SaleTypePrem","SaleConditionnums","LogGrLivArea","GrLivAreabin","NoGarage","NoBasement","TotalHouseArea","X1stLin","TotalBath","Age","AgeLin","VNewSale","Agebin","Remodeled","RemodAge","RemodSale","RemodAgeLin","MasVnrAreaLin","LotFrontagebin","DeckPorchLin","HasWoodDeck","HasOpenPorch","HasEnclosedPorch","Has3SsnPorch","HasScreenPorch","HasDeckorPorch","X2ndLin","LotAreabin","AllSizesSum","AllSizesSumLin","AreasSum","LivArea","LivAreaWt","GarageAge","GarageAgeLin","HasPool","SalePrice"
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.150684931506849,0.0334198041552735,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.1225,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.322669104204753,0,0,0,0,0,1,0,0.0642123287671233,0.266999376169682,1,0,0,0,0.180373185901866,0.413559322033898,0,0.33220666344761,0.333333333333333,0,0.666666666666667,0.5,0.375,0.333333333333333,0,0,1,0,0.5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0.394244604316547,0,0,1,0,0,0,1,0,0,1,0,0.111517367458867,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0.75,0.333333333333333,0,0,0.8,1,0,0.375,0.75,0.857142857142857,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.785714285714286,0.866666666666667,0.666666666666667,0.666666666666667,0.5,1,0.75,0.75,0.25,1,0.666666666666667,0,0,1,0,0,0.666666666666667,1,0.2,0,0.833333333333333,0.666666666666667,0,0.8,0,1,0,0.75,0.727272727272727,0,0.625,0,0.8,0.628988901529948,0.555555555555556,0,0,0.674566218791231,0.415081155166769,0.574527064438558,0.0367647058823529,0.88568592629314,0,0,0,0.0833333333333333,0,0.831425155572188,0.528667951784735,0.333333333333333,0.243926688517544,0,1,0,0,0,1,0.672625472195494,0.444444444444444,0.0471345911035617,0.470391633786288,0.538916604138009,0.545750956895831,0.561780733334251,0.0467289719626168,0.781305544274589,0,12.247694320221
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.202054794520548,0.0387950174110169,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.555555555555556,0.875,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.446983546617916,0,0,0,0,0,1,0,0.121575342465753,0.393636930754835,1,0,0,0,0.320663441603317,0,0,0.224046354418155,0,0.5,0.666666666666667,0,0.375,0.333333333333333,0,0,0,1,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.5,0.330935251798561,0,0,1,0,0,0,1,0,0,1,0.347724620770128,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.666666666666667,0.75,0.333333333333333,0.5,0,0.8,1,0,0.125,0.75,0.571428571428571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.428571428571429,0.266666666666667,0.333333333333333,0.333333333333333,0.5,0.6,0.75,0.75,1,0.666666666666667,0.666666666666667,0,0,1,0,0,0.333333333333333,1,0.6,0,0.833333333333333,0.666666666666667,0,0.8,0,1,0,0.75,0.181818181818182,1,0.625,0,0.8,0.511889952083365,0.333333333333333,0,0,0.669111159735225,0.586223707710583,0.380628975766949,0.227941176470588,0.481225684953969,0,0.3,0,0.516666666666667,0,0.288510056834973,0.104919446457498,0.5,0.379935848610933,1,0,0,0,0,1,0.569849833176612,0.666666666666667,0.0518307914505536,0.491396358353982,0.527985089441217,0.515674921576978,0.497131348544131,0.289719626168224,0.365872997628163,0,12.109010932687
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.160958904109589,0.0465072799083877,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.10125,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.222120658135283,0,0,0,0,0,1,0,0.185787671232877,0.286961946350593,1,0,0,0,0.20248790601244,0.419370460048426,0,0.350555287300821,0.333333333333333,0,0.666666666666667,0.5,0.375,0.333333333333333,0,0,1,0,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.5,0.437410071942446,0,0,1,0,0,0,1,0,0,1,0,0.076782449725777,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0.75,0.333333333333333,0,0,0.8,1,0,0.375,0.75,0.857142857142857,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.785714285714286,0.866666666666667,0.666666666666667,0.666666666666667,0.5,1,0.75,0.75,0.5,1,0.666666666666667,0,0,1,0,0,0.666666666666667,1,0.6,0,0.833333333333333,0.666666666666667,0,0.8,0,1,0,0.75,1,0,0.625,0,0.8,0.645752232276699,0.555555555555556,0,0,0.692125055303648,0.446874513456422,0.574527064438558,0.0514705882352941,0.832807133975897,0,0,1,0.1,0,0.796953749942322,0.488388604752654,0.333333333333333,0.220575686706151,0,1,0,0,0,1,0.677651902786284,0.777777777777778,0.0611686907865454,0.528159967901124,0.565592717966144,0.521266549184839,0.554653145217934,0.0654205607476635,0.720759986780384,0,12.3171666930358
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.133561643835616,0.0385613124868541,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.0987202925045704,0,0,0,0,0,1,0,0.231164383561644,0.235807860262009,0,0,1,0,0.216655148583276,0.366101694915254,0,0.333896668276195,0.333333333333333,0,0.333333333333333,0,0.375,0.333333333333333,0,0,1,0,0.416666666666667,0,0,0,0,1,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.75,0.461870503597122,0,0,1,0,0,0,1,0,0,1,0,0.0639853747714808,0.492753623188406,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6,0.75,0.333333333333333,0.25,0,0.8,1,0,0.375,0.75,0.857142857142857,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.357142857142857,0.2,0.333333333333333,0.333333333333333,0.5,0.2,0.5,1,0.25,0.666666666666667,0.666666666666667,0,0,0.75,0,0,0.666666666666667,0,0.8,1,0.333333333333333,0.333333333333333,0,0.8,0,1,0,0.75,0.727272727272727,0,0.625,0,0.2,0.630563715775802,0.555555555555556,0,0,0.662363657381006,0.466099001504497,0.192592463750844,0.669117647058823,0.139767989450076,0,0.9,1,0.6,0,0.226605907766183,0.104919446457498,0.166666666666667,0.121823022269046,0,1,1,0,0,1,0.628934601084883,0.666666666666667,0.0519170852673746,0.491765008092165,0.495396364714426,0.458917645098913,0.511821004653654,0.0747663551401869,0.694398618312802,0,11.8493977015914
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.215753424657534,0.0605763163429853,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.777777777777778,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.21875,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.299360146252285,0,0,0,0,0,1,0,0.209760273972603,0.357142857142857,1,0,0,0,0.280234968901175,0.509927360774818,0,0.450024142926123,0.333333333333333,0,0.666666666666667,0.5,0.5,0.333333333333333,0,0,1,0,0.583333333333333,0,0,0,0,1,0.333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.75,0.601438848920863,0,0,1,0,0,0,1,0,0,1,0.224037339556593,0.153564899451554,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0.75,0.333333333333333,0.5,0,1,1,1,0.375,0.75,0.857142857142857,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.2,0.785714285714286,0.866666666666667,0.666666666666667,0.666666666666667,0.5,1,0.75,0.75,0.75,1,0.666666666666667,0,0,1,0,0,0.666666666666667,1,0.6,0,0.833333333333333,0.666666666666667,0,0.8,0,1,0,0.75,0.909090909090909,0,0.625,0,0.8,0.72577469689829,0.777777777777778,0,0,0.761987621852354,0.543334631969398,0.574527064438558,0.0588235294117647,0.808810997436603,0,0,0,0.133333333333333,0,0.733338693644234,0.654172579792392,0.5,0.404849329405039,1,1,0,0,0,1,0.748602162193172,1,0.0836505009583155,0.597225125700273,0.702429636910791,0.61407385148001,0.645624755602137,0.0747663551401869,0.694398618312802,0,12.4292161968444
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.219178082191781,0.0598985720629134,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.444444444444444,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.3345521023766,0,0,0,0,0,1,0,0.0273972602739726,0.248284466625078,1,0,0,0,0.159640635798203,0.27409200968523,0,0.248189280540802,0.333333333333333,0,0.333333333333333,0.5,0.125,0.333333333333333,0,0,0,1,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.5,0.345323741007194,0,0,1,0,0,0,1,0,0,1,0.0466744457409568,0.0548446069469835,0,0.62992125984252,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.266666666666667,0.75,0.333333333333333,0,0,0.4,0,0,0.375,0.75,0.142857142857143,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.785714285714286,0.866666666666667,0.333333333333333,0.333333333333333,0.5,0.8,0.75,0.75,0.25,1,0.666666666666667,0,0,1,0,0,0.333333333333333,1,0.2,0,0.833333333333333,0.333333333333333,0,0.8,0,1,0,0.25,0.272727272727273,0,0.625,0,0.8,0.541280894808617,0.333333333333333,0,0,0.617322224621932,0.383035611454114,0.313082816474716,0.117647058823529,0.658728005330844,0,0.1,1,0.233333333333333,0,0.577245445842356,0.104919446457498,0.666666666666667,0.437084791001436,1,1,0,1,0,1,0.526793389867376,1,0.0695437327980089,0.556603644556561,0.515281483835511,0.489415607686355,0.491491811022318,0.149532710280374,0.538652839464778,0,11.870599909242
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.184931506849315,0.0410572810769123,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.777777777777778,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.11625,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.625685557586837,0,0,0,0,0,1,0,0.135702054794521,0.525888958203369,1,0,0,0,0.469937802349689,0,0,0.328343795267986,0.333333333333333,0,0.666666666666667,0,0.375,0.333333333333333,0,0,1,0,0.416666666666667,0,0,0,0,1,0.333333333333333,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0.457553956834532,0,0,1,0,0,0,1,0,0,1,0.2975495915986,0.104204753199269,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.666666666666667,0.75,0.333333333333333,0,0,0.8,1,0,0.375,0.75,0.571428571428571,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.2,0.785714285714286,0.866666666666667,1,0.666666666666667,0.5,1,1,0.75,0.75,1,0.666666666666667,0,0,1,0,0,0.666666666666667,0,0.8,0,0.833333333333333,0.666666666666667,0,0.8,0,1,0,0.75,0.818181818181818,0,0.625,0,0.8,0.625364997314027,0.555555555555556,0,0,0.765624789011574,0.715974080194454,0.454036711714687,0.0220588235294118,0.945016433410009,0,0,1,0.0333333333333333,0,0.943311398449791,0.517545806644495,0.5,0.416353442784729,1,1,0,0,0,1,0.569849833176612,0.666666666666667,0.0634895402810453,0.536424480124266,0.66287803655992,0.644169874325871,0.621505867667671,0.0280373831775701,0.856227795635667,0,12.6346030265693
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.195205479452055,0.0424501624249223,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0.625,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.15,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.392595978062157,0,1,0,0,0,0,0.0217096336499322,0.0924657534246575,0.345290081097941,1,0,0,0,0.267104353835522,0.476029055690073,0,0.423949782713665,0.333333333333333,0,0.666666666666667,0.5,0.375,0.333333333333333,0,0,0,1,0.416666666666667,0,0,0,0,1,0.666666666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.5,0.348201438848921,0,0,1,0,0,0,1,0,0,1,0.274212368728121,0.372943327239488,0.41304347826087,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.75,0.333333333333333,0.25,0,0.6,0,0,0.75,0.75,0.857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0.571428571428571,0.533333333333333,1,0.333333333333333,0.5,0.6,0.75,0.75,0.5,0.666666666666667,0.166666666666667,0,0,1,0,0,0.333333333333333,1,0.6,0,0.833333333333333,0.666666666666667,0,0.8,0,1,0,0.75,0.636363636363636,0,0.625,0,0.8,0.70634990329305,0.777777777777778,0,0,0.747231188437175,0.528455483029514,0.574527064438558,0.264705882352941,0.43726296956,0,0.3,0,0.6,0,0.226605907766183,0.572026383825794,0.5,0.500844925491873,1,1,1,0,0,1,0.723529130817482,0.666666666666667,0.0643615620089201,0.539450375791267,0.611909674081184,0.632607701536021,0.645492508674856,0.336448598130841,0.324240097427542,0,12.2060726455302
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.102739726027397,0.0225291546892893,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.666666666666667,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.407534246575342,0.296943231441048,0,0,1,0,0.237733241188666,0.364164648910412,0,0.347658136166103,0,0,0.666666666666667,0,0.25,0.666666666666667,0,0,0,1,0.5,0,1,0,0,0,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.5,0.336690647482014,1,0,0,0,0,0,1,0,0,1,0.105017502917153,0,0.371376811594203,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.266666666666667,0.25,0.333333333333333,0,0,0.2,0,0,0,0.75,0.142857142857143,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.642857142857143,0.2,0.333333333333333,0.333333333333333,0.5,0.2,0.5,0.75,0.25,0.833333333333333,0.666666666666667,0,0,0.75,0,1,0.333333333333333,1,0.6,1,0.333333333333333,0.333333333333333,1,0.4,0,1,0,0.75,0,0,0.625,0,0.2,0.643153346749957,0.555555555555556,0,0,0.694558930392449,0.493233119069918,0.311777191553951,0.566176470588235,0.196142052146458,0,0.7,1,0.966666666666667,0,0.0157060450207473,0.104919446457498,0,0.167078706709381,1,0,1,0,0,1,0.627041947939268,0.333333333333333,0.0377512739692431,0.421861654806614,0.503859971940684,0.427019154738922,0.500248209399736,0.719626168224299,0.101272536709379,0,11.7745202026587
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0993150684931507,0.0286054827175209,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.444444444444444,0.625,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.388939670932358,0,0,0,0,0,1,0,0.0599315068493151,0.309107922645041,1,0,0,0,0.25673807878369,0,0,0.17938194109126,0.333333333333333,0,0.333333333333333,0,0.25,0.666666666666667,0,0,0,1,0.25,0,0,0,0,1,0.666666666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.25,0.147482014388489,0,1,0,0,0,0,1,0,0,1,0,0.00731261425959781,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.2,0.75,0.333333333333333,0.25,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0.428571428571429,0.266666666666667,0.333333333333333,0.333333333333333,0.5,0.2,0.5,0.75,0.25,1,0.666666666666667,0,0,1,0,0,0.333333333333333,1,0.6,0,0.833333333333333,0.666666666666667,0,1,0,1,0,0.75,0.0909090909090909,0,0.625,0,0.8,0.450799263441846,0.222222222222222,0,0,0.603238186719796,0.516343090717147,0.192592463750844,0.507352941176471,0.232554633544313,0,0.6,1,0.966666666666667,0,0.0157060450207473,0.104919446457498,0,0.1731993059787,0,1,0,0,0,1,0.569849833176612,0.333333333333333,0.0351579176847823,0.406555352333028,0.376886984479656,0.457942611007167,0.438513666573378,0.644859813084112,0.134462320647163,0,11.6784399034478
